Index,"By clicking ""Yes"" below, you confirm that:
1.You understand that your participation is voluntary.
2.You understand that you may stop the survey and quit at any time without giving a reason.
3.You consent to the anonymous use of your responses for research purposes.",What is your current academic position?,Which research area best describes your work?,How many peer-reviewed papers have you published in your career?,Is English your native language?,"Have you served as a reviewer for top-tier conferences (e.g., USENIX Sec, CCS, S&P, CVPR, NeurIPS) in the last 3 years?",Which stage of paper writing do you find most time-consuming? (Select up to 2).1,How do you typically search for related work?.1,Do you use AI-powered tools for research?.1,Which types of AI-powered tools do you use for research? (Select all that apply).1,"Do you use AI tools specifically for text polishing, grammar checking, or rephrasing?.1","Specifically regarding CITATIONS, how do you use AI tools? (Select all that apply).1","When asking a General LLM (e.g., ChatGPT) to find references, how often do you encounter ""hallucinations"" (non-existent papers)?.1","If an AI tool provides a perfect-looking reference (Title, Author, Year, Venue all look correct), do you still verify it externally?.1",Have you ever cited a paper suggested by AI without reading the full text of that paper?.1,"To what extent do you agree: ""AI tools have made it easier to generate 'Related Work' sections, but harder to ensure citation accuracy."".1",What is your strategy when an AI tool generates a citation with a broken link or DOI?.1,"When adding a citation to your paper, what is your primary source of metadata (title, year, venue)?.1",How often do you verify that a cited paper actually contains the claim you are attributing to it?.1,"If you cannot find the full text of a paper (e.g., paywalled or offline), do you still cite it based on its abstract or title?.1","To what extent do you agree: ""There is pressure to include a high number of references to make the paper look more scholarly."".1","When reviewing a paper, do you explicitly check the Reference section?",What are you looking for when checking references? (Select all that apply),Have you ever clicked on a DOI link in a submission's bibliography to verify the paper exists?,Have you ever suspected a submission contained fake or hallucinated references?,"If you see a citation to a ""Preprint"" or ""ArXiv"" paper, do you verify if it has been published in a peer-reviewed venue?",How do you handle citations to non-English papers in a submission?,"To what extent do you agree: ""The accuracy of the bibliography is as important as the accuracy of the experimental results.""",Do you believe the current peer review process is effective at catching metadata errors in references?,"How serious of an issue do you consider ""hallucinated citations"" (non-existent papers) in the era of AI?",Who is primarily responsible for verifying the authenticity of cited references?,Should conferences deploy automated tools to check for broken DOIs or fake references upon submission?,"To what extent do you agree: ""It is acceptable to cite a paper based on AI summarization without reading the original text.""","Have you ever seen a reference list where the author names were clearly scrambled or incorrect (e.g., order reversed)?",Have you ever seen a reference where the title existed but the venue/year was completely wrong?,"Do you think it is acceptable to cite a ""Technical Report"" if a peer-reviewed version exists?","What is your reaction if you find one incorrect citation (e.g., wrong year) in a paper you are reviewing?","What is your reaction if you find multiple (e.g., >5) incorrect or fake citations?","If you encounter a suspicious or clearly fake reference in a published paper, do you report it?",Have you ever copy-pasted a BibTeX entry from the internet without checking its content?,"To what extent do you agree: ""I meticulously verify every single field (volume, issue, page numbers) of every BibTeX entry I import, ensuring 100% accuracy before submission.""","Do you use tools like ""Semantic Scholar"" or ""ResearchRabbit"" to build your bibliography?"
65,"Yes, I consent to participate.",PhD Student,Other,0,No,No,Conceptualization; & Technical Description,"Following citations from other papers & Using AI-powered tools (e.g., ChatGPT, Connected Papers)",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for almost every sentence","Formatting: Converting references into specific formats (e.g., BibTeX) & Discovery: Asking AI to recommend papers on a specific topic",Occasionally (<20%),Always verify (100%),"No, never",Somewhat agree,I assume the paper is a hallucination and discard it immediately,"Google Scholar ""Cite"" button",Every single time,"No, never",Somewhat agree,,,,,,,Somewhat agree,Not very effective,Minor nuisance,Authors,No,Somewhat disagree,No,No,Yes,Mention in minor comments,Ask for explanation,"No, I would verify it privately but take no action","No, never",Somewhat agree,No
66,"Yes, I consent to participate.",Researcher,Other,1-5,No,No,Conceptualization;,Keyword search on Google Scholar/DBLP & Following citations from other papers & Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Occasionally (<20%),Always verify (100%),"No, never",Somewhat disagree,I assume the paper exists and try to find it manually,Direct export from publisher,Most of the time,"No, never",Somewhat disagree,,,,,,,Strongly agree,Somewhat effective,Critical crisis,Authors,Maybe,Strongly disagree,Yes,Yes,Yes,Mention in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the authors directly","Yes, rarely",Somewhat agree,No
67,"Yes, I consent to participate.",PhD Student,Other,1-5,No,No,Writing the Introduction & Technical Description,Keyword search on Google Scholar/DBLP & Following citations from other papers & Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),I do not use General LLMs for finding references,Always verify (100%),"No, never",Neutral,I assume the paper is a hallucination and discard it immediately,"Google Scholar ""Cite"" button",Every single time,"No, never",Somewhat disagree,,,,,,,Strongly agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Neutral,Yes,No,Yes,Mention in minor comments,Ask for explanation,"No, I would verify it privately but take no action","No, never",Somewhat agree,No
68,"Yes, I consent to participate.",PhD Student,AI Security,1-5,No,Yes,Conceptualization; & Writing the Introduction,"Keyword search on Google Scholar/DBLP & Following citations from other papers & Using AI-powered tools (e.g., ChatGPT, Connected Papers) & Browsing conference proceedings",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs","Gap Filling: ""I need a citation for this statement, please find one.""",Occasionally (<20%),Always verify (100%),"No, never",Somewhat agree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Only for critical claims,"No, never",Somewhat agree,"Yes, carefully","Self-citation abuse & Missing key related work & Correctness of metadata (Year, Venue) & Existence of the papers",Occasionally,Yes,Sometimes,I check them using translation tools,Strongly agree,Somewhat effective,Major problem,Authors,"Yes, absolutely",Somewhat disagree,No,Yes,Yes,Ask for major revision,Reject immediately (Ethical concern),"No, I would verify it privately but take no action","No, never",Strongly agree,No
69,"Yes, I consent to participate.",Faculty (Professor/Lecturer),AI & Machine Learning,11-20,No,No,Conceptualization; & Writing the Introduction,Keyword search on Google Scholar/DBLP & Following citations from other papers,No,,,,,,,,,"Google Scholar ""Cite"" button",Only for critical claims,"Yes, if necessary",Somewhat disagree,,,,,,,Strongly agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Strongly disagree,No,No,No,Mention in minor comments,Reject immediately (Ethical concern),"No, I would verify it privately but take no action","No, never",Strongly agree,No
70,"Yes, I consent to participate.",Faculty (Professor/Lecturer),AI & Machine Learning,6-10,No,Yes,Conceptualization;,Keyword search on Google Scholar/DBLP & Following citations from other papers,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, but only for final proofreading",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Often (20-50%),Always verify (100%),"No, never",Strongly disagree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Most of the time,"Yes, if necessary",Somewhat agree,"Yes, skimming","Correctness of metadata (Year, Venue)",Rarely,No,Sometimes,I assume they are valid,Somewhat agree,Not very effective,Major problem,Authors,"Yes, absolutely",Strongly disagree,No,No,No,Ask for major revision,Reject immediately (Ethical concern),"No, I would verify it privately but take no action","No, never",Somewhat agree,Yes
71,"Yes, I consent to participate.",Master's Student,AI & Machine Learning,20+,No,Yes,Conceptualization;,Keyword search on Google Scholar/DBLP,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for almost every sentence",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Never,Always verify (100%),"No, never",Strongly agree,I assume the paper is a hallucination and discard it immediately,"Google Scholar ""Cite"" button",Every single time,"Yes, often",Strongly disagree,No,"Correctness of metadata (Year, Venue) & Existence of the papers",Never,No,No,I ignore them,Somewhat disagree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Strongly disagree,No,No,Yes,Reject the paper,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","No, never",Strongly disagree,No
72,"Yes, I consent to participate.",PhD Student,AI & Machine Learning,1-5,No,No,Conceptualization; & Writing the Introduction,Keyword search on Google Scholar/DBLP & Following citations from other papers,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for specific difficult paragraphs",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Very Often (>50%),Always verify (100%),"No, never",Strongly agree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Most of the time,"Yes, if necessary",Somewhat agree,,,,,,,Strongly agree,Not very effective,Minor nuisance,Authors,Maybe,Neutral,No,Yes,Yes,Mention in minor comments,Ask for explanation,"No, I would verify it privately but take no action","No, never",Neutral,No
73,"Yes, I consent to participate.",Master's Student,AI & Machine Learning,1-5,No,No,Conceptualization; & Technical Description,"Keyword search on Google Scholar/DBLP & Using AI-powered tools (e.g., ChatGPT, Connected Papers)",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs","Discovery: Asking AI to recommend papers on a specific topic & Gap Filling: ""I need a citation for this statement, please find one."" & Summarization: Asking AI to summarize a paper to decide whether to cite it",Often (20-50%),Always verify (100%),"Yes, once or twice",Somewhat agree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Every single time,"Yes, if necessary",Somewhat agree,,,,,,,Strongly agree,Somewhat effective,Critical crisis,Reviewers,"Yes, absolutely",Neutral,Yes,Yes,Yes,Mention in minor comments,Ask for explanation,"Yes, I would contact the authors directly","No, never",Strongly agree,No
74,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Yes, I consent to participate.",PhD Student,AI Security,6-10,No,Yes,Writing the Introduction,Keyword search on Google Scholar/DBLP & Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Occasionally (<20%),Always verify (100%),"No, never",Somewhat agree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Most of the time,"No, never",Somewhat agree,"Yes, skimming",Missing key related work,Occasionally,No,Sometimes,I ignore them,Somewhat agree,Not very effective,Minor nuisance,Authors,"Yes, absolutely",Somewhat disagree,No,Yes,No,Mention in minor comments,Reject immediately (Ethical concern),"No, I would verify it privately but take no action","Yes, rarely",Somewhat disagree,No
76,"Yes, I consent to participate.",Master's Student,AI & Machine Learning,1-5,No,No,Writing the Introduction & Technical Description,Keyword search on Google Scholar/DBLP & Following citations from other papers & Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for almost every sentence",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Never,Always verify (100%),"No, never",Neutral,I keep the citation but remove the DOI,"Google Scholar ""Cite"" button",Only for critical claims,"Yes, if necessary",Neutral,,,,,,,Neutral,Not very effective,Critical crisis,Authors,"Yes, absolutely",Neutral,No,No,No,Mention in minor comments,Ask for explanation,"No, I would ignore it","Yes, rarely",Neutral,No
77,"Yes, I consent to participate.",Faculty (Professor/Lecturer),Other,20+,No,Yes,Conceptualization;,Keyword search on Google Scholar/DBLP & Following citations from other papers & Browsing conference proceedings,No,,,,,,,,,Direct export from publisher,Every single time,"No, never",Strongly disagree,"Yes, carefully","Missing key related work & Correctness of metadata (Year, Venue)",Never,No,Always,I assume they are valid,Strongly agree,Not very effective,Minor nuisance,Authors,"Yes, absolutely",Neutral,No,No,No,Mention in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","Yes, often",Neutral,No
78,"Yes, I consent to participate.",Undergraduate student,Cryptography,0,No,No,Conceptualization; & Technical Description,Keyword search on Google Scholar/DBLP & Browsing conference proceedings,No,,,,,,,,,"Google Scholar ""Cite"" button",Most of the time,"Yes, if necessary",Neutral,,,,,,,Somewhat agree,Somewhat effective,Major problem,Authors,Maybe,Neutral,No,No,No,Mention in minor comments,Ask for explanation,"Yes, I would contact the authors directly & Yes, I would contact the PC Chairs or Journal Editors & No, I would verify it privately but take no action","Yes, often",Strongly agree,No
79,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Yes, I consent to participate.",PhD Student,AI Security,6-10,No,Yes,Writing the Introduction,Keyword search on Google Scholar/DBLP & Following citations from other papers,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for almost every sentence",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),I do not use General LLMs for finding references,Always verify (100%),"No, never",Somewhat agree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Every single time,"Yes, if necessary",Somewhat disagree,No,Missing key related work,Rarely,No,Sometimes,I assume they are valid,Strongly agree,Somewhat effective,Minor nuisance,Authors,"Yes, absolutely",Somewhat agree,No,No,Yes,Mention in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","No, never",Strongly agree,Yes
81,"Yes, I consent to participate.",Master's Student,AI & Machine Learning,1-5,No,No,Conceptualization; & Writing the Introduction,Keyword search on Google Scholar/DBLP & Following citations from other papers & Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor) & Academic search engines (e.g., Elicit, Semantic Scholar)","Yes, for specific difficult paragraphs",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),I do not use General LLMs for finding references,Always verify (100%),"No, never",Somewhat agree,I assume the paper is a hallucination and discard it immediately,"Google Scholar ""Cite"" button",Most of the time,"No, never",Strongly agree,,,,,,,Somewhat agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Strongly disagree,No,No,Yes,Mention in minor comments,Ask for explanation,"Yes, I would contact the PC Chairs or Journal Editors","Yes, rarely",Neutral,No
82,"Yes, I consent to participate.",Faculty (Professor/Lecturer),Network Security,6-10,No,No,Conceptualization;,"Using AI-powered tools (e.g., ChatGPT, Connected Papers)",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs","Formatting: Converting references into specific formats (e.g., BibTeX)",I do not use General LLMs for finding references,Only if reading full text,"No, never",Strongly agree,I assume the paper is a hallucination and discard it immediately,"Google Scholar ""Cite"" button",Rarely,"No, never",Neutral,,,,,,,Neutral,Somewhat effective,Major problem,Authors,Maybe,Somewhat disagree,Yes,Yes,Yes,Mention in minor comments,Ask for explanation,"No, I would ignore it","No, never",Neutral,Yes
83,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Yes, I consent to participate.",Master's Student,Network Security,1-5,No,No,Conceptualization;,Keyword search on Google Scholar/DBLP & Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for almost every sentence","Formatting: Converting references into specific formats (e.g., BibTeX) & Discovery: Asking AI to recommend papers on a specific topic & Gap Filling: ""I need a citation for this statement, please find one.""",Occasionally (<20%),Always verify (100%),"Yes, once or twice",Strongly agree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Most of the time,"Yes, if necessary",Somewhat agree,,,,,,,Somewhat agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Somewhat disagree,No,Yes,Yes,Mention in minor comments,Ask for explanation,"Yes, I would contact the authors directly","No, never",Somewhat agree,Yes
85,"Yes, I consent to participate.",Researcher,AI Security,20+,No,Yes,Conceptualization; & Writing the Introduction,Keyword search on Google Scholar/DBLP & Following citations from other papers & Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, but only for final proofreading",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Often (20-50%),Always verify (100%),"No, never",Neutral,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Only for critical claims,"Yes, if necessary",Somewhat agree,"Yes, skimming",Self-citation abuse & Missing key related work,Rarely,No,Always,I ignore them,Strongly agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Somewhat disagree,No,Yes,No,Ask for major revision,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","Yes, rarely",Somewhat agree,No
86,"Yes, I consent to participate.",Faculty (Professor/Lecturer),System Security,6-10,No,No,Conceptualization; & Writing the Introduction,Keyword search on Google Scholar/DBLP & Following citations from other papers & Browsing conference proceedings,No,,,,,,,,,"Google Scholar ""Cite"" button",Most of the time,"Yes, if necessary",Neutral,,,,,,,Somewhat agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Somewhat agree,Yes,No,Yes,Mention in minor comments,Reject immediately (Ethical concern),"No, I would verify it privately but take no action","Yes, rarely",Neutral,No
87,"Yes, I consent to participate.",Master's Student,Other,1-5,No,No,Conceptualization; & Literature Search & Review,Keyword search on Google Scholar/DBLP,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Often (20-50%),Always verify (100%),"No, never",Somewhat disagree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Every single time,"Yes, if necessary",Somewhat disagree,,,,,,,Somewhat agree,Not very effective,Critical crisis,Authors,Maybe,Somewhat disagree,No,No,Yes,Mention in minor comments,Ask for explanation,"Yes, I would contact the PC Chairs or Journal Editors & No, I would verify it privately but take no action","Yes, rarely",Somewhat agree,No
,"Yes, I consent to participate.",Faculty (Professor/Lecturer),Network Security,20+,No,Yes,Literature Search & Review;Formatting References,Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for specific difficult paragraphs","Formatting: Converting references into specific formats (e.g., BibTeX)",Occasionally (<20%),"Yes, I verify 100% of them via Google Scholar/DBLP","No, never",Strongly agree,I assume the paper exists and try to find it manually,Direct export from publisher (IEEE/ACM),Only for critical claims,"Yes, if necessary",Somewhat agree,"Yes, carefully","Missing key related work;Correctness of metadata (Year, Venue)",Occasionally,Yes,Sometimes,I check them using translation tools,Strongly agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Strongly disagree,Yes,Yes,No,Reject the paper,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","No, never",Strongly agree,No
,"Yes, I consent to participate.",Researcher,Cryptography,1-5,No,Yes,Writing the Introduction;Technical Description,Keyword search on Google Scholar/DBLP,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for specific difficult paragraphs",Summarization: Asking AI to summarize a paper to decide whether to cite it,I do not use General LLMs for finding references,"Yes, I verify 100% of them via Google Scholar/DBLP","No, never",Strongly agree,I assume the paper exists and try to find it manually,Direct export from publisher (IEEE/ACM),Most of the time,"Yes, if necessary",Neutral,No,Missing key related work,Occasionally,No,Always,I check them using translation tools,Somewhat agree,Not very effective,Critical crisis,Authors,Maybe,Somewhat disagree,No,No,No,Mention it in minor comments,Reject immediately (Ethical concern),"No, I would verify it privately but take no action","Yes, often",Somewhat disagree,No
,"Yes, I consent to participate.",Other,Other,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Ineffective,Critical crisis,Authors,"Yes, absolutely",Strongly disagree,Yes,Yes,Yes,Ask for major revision,Reject immediately (Ethical concern),"Yes, I would contact the authors directly;Yes, I would contact the PC Chairs or Journal Editors","No, never",Strongly agree,No
,"Yes, I consent to participate.",Other,Software Engineering,0,No,No,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Not very effective,Major problem,Authors,"Yes, absolutely",Strongly disagree,Yes,Yes,Yes,Mention it in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors;No, I would verify it privately but take no action","Yes, rarely",Somewhat disagree,No
,"Yes, I consent to participate.",Undergraduate student,Other,0,No,No,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Somewhat effective,Minor nuisance,Authors,"Yes, absolutely",Somewhat agree,No,Yes,Yes,Mention it in minor comments,Ask for explanation,"No, I would verify it privately but take no action","No, never",Somewhat agree,No
,"Yes, I consent to participate.",PhD Student,System Security,1-5,No,No,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Neutral,No,No,Yes,Mention it in minor comments,Ask for explanation,"Yes, I would contact the authors directly","No, never",Somewhat disagree,No
,"Yes, I consent to participate.",Faculty (Professor/Lecturer),AI Security,20+,No,Yes,Conceptualization;Writing the Introduction;Technical Description,Keyword search on Google Scholar/DBLP,No,,,,,,,,,,,,,,,,,,,Strongly agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Strongly disagree,Yes,Yes,Yes,Mention it in minor comments,Reject immediately (Ethical concern),"No, I would verify it privately but take no action","No, never",Neutral,No
,"Yes, I consent to participate.",Researcher,AI & Machine Learning,20+,No,Yes,Writing the Introduction;Technical Description,Following citations from other papers,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for almost every sentence",Discovery: Asking AI to recommend papers on a specific topic,I do not use General LLMs for finding references,I only verify if I need to read the full text,"No, never",Somewhat agree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Every single time,"Yes, if necessary",Neutral,"Yes, skimming",Self-citation abuse;Missing key related work,Rarely,No,No,I assume they are valid,Somewhat agree,Not very effective,Major problem,Publishers (Editorial check),"Yes, absolutely",Somewhat agree,No,No,No,Mention it in minor comments,Reject immediately (Ethical concern),"No, I would ignore it","No, never",Strongly agree,No
,"Yes, I consent to participate.",Master's Student,AI & Machine Learning,1-5,No,Yes,Conceptualization,Following citations from other papers,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs","Formatting: Converting references into specific formats (e.g., BibTeX)",I do not use General LLMs for finding references,"Yes, I verify 100% of them via Google Scholar/DBLP","No, never",Somewhat agree,I keep the citation but remove the DOI,"Google Scholar ""Cite"" button",Most of the time,"No, never",Strongly disagree,No,Missing key related work,Rarely,No,No,I assume they are valid,Somewhat agree,Not very effective,Minor nuisance,Reviewers,"Yes, absolutely",Strongly disagree,No,Yes,Yes,Mention it in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","Yes, often",Somewhat agree,No
,"Yes, I consent to participate.",PhD Student,AI Security,6-10,No,Yes,Conceptualization;Literature Search & Review,Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs",Discovery: Asking AI to recommend papers on a specific topic,I do not use General LLMs for finding references,"Yes, I verify 100% of them via Google Scholar/DBLP","No, never",Strongly agree,I assume the paper exists and try to find it manually,Direct export from publisher (IEEE/ACM),Every single time,"No, never",Somewhat agree,"Yes, carefully","Self-citation abuse;Missing key related work;Correctness of metadata (Year, Venue);Existence of the papers",Frequently,No,Always,I assume they are valid,Strongly agree,Not very effective,Major problem,Authors,"Yes, absolutely",Strongly disagree,No,Yes,Yes,Mention it in minor comments,Ask for explanation,"Yes, I would contact the authors directly","No, never",Strongly agree,No
,"Yes, I consent to participate.",PhD Student,AI Security,1-5,No,No,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat effective,Critical crisis,Authors,"Yes, absolutely",Somewhat disagree,Yes,No,Yes,Mention it in minor comments,Reject immediately (Ethical concern),"No, I would verify it privately but take no action","Yes, rarely",Somewhat disagree,No
,"Yes, I consent to participate.",PhD Student,AI & Machine Learning,1-5,No,Yes,Literature Search & Review;Writing the Introduction;Technical Description,"Using AI-powered tools (e.g., ChatGPT, Connected Papers)",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, but only for final proofreading",Discovery: Asking AI to recommend papers on a specific topic;Verification: Asking AI if a specific paper exists,Occasionally (<20%),"Yes, I verify 100% of them via Google Scholar/DBLP","No, never",Somewhat agree,I assume the paper exists and try to find it manually,Direct export from publisher (IEEE/ACM),Every single time,"Yes, if necessary",Somewhat disagree,"Yes, skimming",Missing key related work;Existence of the papers,Frequently,No,Sometimes,I ignore them,Somewhat agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Somewhat disagree,No,No,Yes,Mention it in minor comments,Ask for explanation,"Yes, I would contact the PC Chairs or Journal Editors","Yes, often",Neutral,No
,"Yes, I consent to participate.",Postdoc,System Security,20+,No,Yes,Literature Search & Review;Writing the Introduction,Following citations from other papers,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, but only for final proofreading","Formatting: Converting references into specific formats (e.g., BibTeX)",I do not use General LLMs for finding references,"Yes, I verify 100% of them via Google Scholar/DBLP","No, never",Somewhat disagree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Every single time,"No, never",Somewhat agree,"Yes, skimming",Missing key related work;Existence of the papers,Occasionally,No,Sometimes,I ignore them,Strongly agree,Not very effective,Major problem,Authors,Maybe,Strongly disagree,No,Yes,No,Mention it in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","No, never",Somewhat agree,No
,"Yes, I consent to participate.",PhD Student,AI Security,1-5,No,No,,,,,,,,,,,,,,,,,,,,,,Neutral,Ineffective,Minor nuisance,Authors,"Yes, absolutely",Somewhat agree,No,No,Yes,Mention it in minor comments,Ask for explanation,"No, I would verify it privately but take no action","Yes, often",Strongly disagree,No
,"Yes, I consent to participate.",PhD Student,Other,1-5,Yes,Yes,Conceptualization;Literature Search & Review,Keyword search on Google Scholar/DBLP,No,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat effective,Critical crisis,Authors,"Yes, absolutely",Somewhat disagree,Yes,Yes,No,Ask for major revision,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","No, never",Strongly agree,No
,"Yes, I consent to participate.",Researcher,Other,1-5,Yes,No,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Very effective,Major problem,Authors,"Yes, absolutely",Strongly disagree,No,Yes,Yes,Ask for major revision,Reject immediately (Ethical concern),"No, I would ignore it","No, never",Strongly agree,No
,"Yes, I consent to participate.",PhD Student,System Security,1-5,No,No,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Ineffective,Major problem,Authors,"Yes, absolutely",Strongly disagree,No,No,Yes,Mention it in minor comments,Ask for explanation,"No, I would verify it privately but take no action","Yes, rarely",Strongly disagree,No
,"Yes, I consent to participate.",Faculty (Professor/Lecturer),AI & Machine Learning,20+,Yes,Yes,Conceptualization,Following citations from other papers,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini);Coding Assistants (e.g., GitHub Copilot, Cursor)","No, I trust my own writing more",Discovery: Asking AI to recommend papers on a specific topic,I do not use General LLMs for finding references,"Yes, I verify 100% of them via Google Scholar/DBLP","No, never",Neutral,I assume the paper is a hallucination and discard it immediately,"Google Scholar ""Cite"" button",Every single time,"No, never",Strongly disagree,"Yes, skimming",Missing key related work;Existence of the papers,Occasionally,Yes,Sometimes,I check them using translation tools,Strongly agree,Somewhat effective,Major problem,Authors,"Yes, absolutely",Neutral,Yes,Yes,Yes,Mention it in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","No, never",Neutral,No
